SeniorCitizen,customer_tenure_months,monthly_spend,support_tickets_last_90d,feature_usage_score,days_since_last_login,subscription_plan_encoded,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,is_high_value_customer,engagement_trend
0,35,49.2,2,70.47125197376502,16,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,0,0.6941634325051426
0,15,75.1,0,68.39717642896142,9,0,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.8529905880965382
0,13,40.55,2,57.25363823083073,7,2,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,0,0.6917713866953616
0,26,73.5,3,75.43273730414391,14,2,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,0,0.6532943095323315
0,1,44.55,0,65.35743878551907,10,0,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.8382284996554339
0,66,79.5,0,46.74015151616998,8,2,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0,0.7854301346835295
0,1,19.8,1,75.95153582801188,0,0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,0,0.8531717860933729
0,40,56.6,0,60.08186766421971,11,0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0,0.8160136329548066
0,65,59.8,0,55.98240851147533,9,2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,0,0.8116080283715844
0,60,80.55,0,69.34516543946623,4,1,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,0,0.8792986996130355
1,5,59.9,2,80.37535749645907,10,0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0,0.7549548953585673
0,5,49.4,2,57.17112223340525,2,0,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.7146444815187581
0,2,50.95,0,58.81316666423237,13,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.802525370362256
0,30,67.6,1,54.61760443584676,13,0,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,0,0.7218734962676373
0,36,95.4,2,74.36114767848285,8,0,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,1,0.7441667885579059
0,55,69.05,1,55.70547895658719,11,2,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0,0.7347590039293648
0,31,84.75,0,66.42381596275295,15,0,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0,0.8186349420980653
1,28,35.9,0,85.12694909535338,4,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0,0.9319046451326595
0,16,18.95,2,70.80336025358112,3,2,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,0,0.7554556452897149
0,6,20.15,0,53.41173352767281,7,0,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0,0.8122983710181687
