customer_id,timestamp,churn_probability,risk_tier,tenure_segment,is_high_value,monthly_spend,recommended_action,rule_fired,true_churn_label
0,2026-09-01T15:35:16.921601,0.0418,Low,Loyal,True,114.05,No action needed,RULE_LOW_NO_ACTION,0
1,2026-09-01T15:35:16.921601,0.0291,Low,Established,True,100.15,No action needed,RULE_LOW_NO_ACTION,0
2,2026-09-01T15:35:16.921601,0.0615,Low,Loyal,False,78.35,No action needed,RULE_LOW_NO_ACTION,0
3,2026-09-01T15:35:16.921601,0.1433,Medium,Established,False,78.2,Proactive support outreach,RULE_MEDIUM_LOW_VALUE_OUTREACH,0
4,2026-09-01T15:35:16.921601,0.067,Low,Loyal,False,82.65,No action needed,RULE_LOW_NO_ACTION,0
5,2026-09-01T15:35:16.922600,0.2903,Medium,Established,True,99.85,Loyalty reward,RULE_MEDIUM_HIGH_VALUE_REWARD,0
6,2026-09-01T15:35:16.922600,0.0156,Low,Established,True,99.15,No action needed,RULE_LOW_NO_ACTION,0
7,2026-09-01T15:35:16.922600,0.5261,High,Established,False,24.1,Plan downgrade offer,RULE_LOW_VALUE_DOWNGRADE,0
8,2026-09-01T15:35:16.922600,0.0148,Low,Loyal,False,19.75,No action needed,RULE_LOW_NO_ACTION,0
9,2026-09-01T15:35:16.922600,0.7251,High,Established,False,45.05,Plan downgrade offer,RULE_LOW_VALUE_DOWNGRADE,1
10,2026-09-01T15:35:16.922600,0.0091,Low,Loyal,True,106.05,No action needed,RULE_LOW_NO_ACTION,0
11,2026-09-01T15:35:16.922600,0.0015,Low,Loyal,True,114.85,No action needed,RULE_LOW_NO_ACTION,0
12,2026-09-01T15:35:16.922600,0.0475,Low,Loyal,False,30.2,No action needed,RULE_LOW_NO_ACTION,0
13,2026-09-01T15:35:16.923602,0.9189,High,Established,False,84.8,Plan downgrade offer,RULE_LOW_VALUE_DOWNGRADE,1
14,2026-09-01T15:35:16.923602,0.0035,Low,Established,False,48.8,No action needed,RULE_LOW_NO_ACTION,0
15,2026-09-01T15:35:16.923602,0.0066,Low,Loyal,False,84.5,No action needed,RULE_LOW_NO_ACTION,0
16,2026-09-01T15:35:16.923602,0.002,Low,Established,False,19.5,No action needed,RULE_LOW_NO_ACTION,0
17,2026-09-01T15:35:16.923602,0.4256,Medium,Established,True,91.0,Loyalty reward,RULE_MEDIUM_HIGH_VALUE_REWARD,0
18,2026-09-01T15:35:16.923602,0.0054,Low,Loyal,True,105.7,No action needed,RULE_LOW_NO_ACTION,0
19,2026-09-01T15:35:16.923602,0.001,Low,Loyal,False,35.4,No action needed,RULE_LOW_NO_ACTION,0
20,2026-09-01T15:35:16.923602,0.2582,Medium,New,False,74.85,Proactive support outreach,RULE_MEDIUM_LOW_VALUE_OUTREACH,1
21,2026-09-01T15:35:16.923602,0.8664,High,Established,False,28.5,Plan downgrade offer,RULE_LOW_VALUE_DOWNGRADE,0
22,2026-09-01T15:35:16.924601,0.0466,Low,Loyal,False,20.05,No action needed,RULE_LOW_NO_ACTION,0
23,2026-09-01T15:35:16.924601,0.0054,Low,Established,False,19.8,No action needed,RULE_LOW_NO_ACTION,0
