SeniorCitizen,customer_tenure_months,monthly_spend,will_churn,support_tickets_last_90d,feature_usage_score,days_since_last_login,subscription_plan_encoded,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,is_high_value_customer,engagement_trend,tenure_segment,spend_segment
0,1,29.85,No,0,67.4582697067979,6,0,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,0,0.8637497879115487,New,Low
0,34,56.95,No,0,32.40543191156546,20,1,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.682092180445959,Loyal,Medium
0,2,53.85,Yes,4,51.89590174583098,24,0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0,0.46187522804165887,New,Medium
0,45,42.3,No,1,41.026667338459376,1,1,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,0,0.7321259281652349,Loyal,Medium
0,2,70.7,Yes,1,33.52087401492984,18,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.6284029133830995,New,Medium
0,8,99.65,Yes,3,65.02883688872541,24,0,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,1,0.5723183451846402,Established,High
0,22,89.1,No,3,60.828120134885,3,0,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,0,0.6555381782273945,Established,Medium
0,10,29.75,No,1,46.05228077411024,7,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.72110019517296,Established,Low
0,28,104.8,Yes,3,35.660969523694064,33,0,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,1,0.43275878730120243,Loyal,High
0,62,56.15,No,2,15.47447354646222,10,1,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0.5386186155252445,Loyal,Medium
